adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/ew05WEASwOXpOa0dDSwXwCjWqPs.jpg,[],853611,hi,Sur Taal,,1.39,/bqU9As6JQpsDr9WMcc1EUow2fd4.jpg,2020-10-05,Sur Taal,False,0.0,0
False,/gehIEMzhewSN93CIWQlX644y7vM.jpg,[],853592,hi,Trapped,,0.89,/vwcH4PzU5AmYI1cagTZzZLhIgvA.jpg,2020-09-21,Trapped,False,0.0,0
False,/rYx4jrmxzETdBSTLYt2bNbhgz8i.jpg,"[18, 10749]",848518,hi,Ishk Ishk Ishk,"Dhun comes from a wealthy and talented family and desires to see the world on his own. He sets upon this travel and on his journey comes upon an inn called Five Daughters, run by Pahar. Deciding to stay there for a while, he meets Pahar's daughters and falls in love with Pooja. Pooja reciprocates his love and both hope to get married. Just when their marriage is being planned, Pooja's family comes to learn that Dhun and Pooja are related.",0.6,/3liMJHSL2M1AChDUmTWwd3YEJo8.jpg,1974-11-08,Ishk Ishk Ishk,False,0.0,0
False,,[18],846804,hi,Shankar's Fairies,"1962: the newly independent and idealistic India is still class-bound and exploitative. Shankar, a village man with many skills, is an indispensable servant in the house of a senior police officer. His master’s little daughter loves his stories, and they share a close bond. Meanwhile, Shankar’s own daughter gets sick in his village while he is away.",1.4,/r77cHqqhkmKFiIgwAO3SSIohxjt.jpg,2021-08-13,Shankar's Fairies,False,0.0,0
False,,"[80, 18, 10749]",845729,hi,Yeh Rastey Hain Pyar Ke,A commercial pilot is arrested and charged with killing his wife's lover.,1.4,/m8m93EtUF59O9zfVWAr3bdw8L6k.jpg,1963-01-01,Yeh Rastey Hain Pyar Ke,False,0.0,0
False,,[],839170,hi,Jadoo,"Jadoo (Magic) is a 1951 Hindi psychosocial melodrama film directed by A. R. Kardar. The film revolves around a young singer and dancer, Sundari, who is involved with crooks, but falls in love with a police constable, Pritam. The plot of the film was inspired from The Loves of Carmen (1948)",0.877,/mb1FRUc8YBzvYHEapZNz3fg8PlP.jpg,1951-01-01,Jadoo,False,0.0,0
False,,[18],833800,hi,Agar... If,"Bombay-based Anil Agarwal lives a very wealthy lifestyle, mostly from wealth, estate, and business inherited from his grandfather, along with his wife, Anju, and a school-going son named Jimmy. One day while at the beach a stranger named Vijay Sohni, rescues Jimmy from drowning, refuses to accept any compensation, but is invited to live in the palatial house of the Agarwals indefinitely, which he accepts. Anil's garage owner friend, Daver, cautions him against Vijay, as he has been seen making advances to Daver's wife, Suman. Anil decides to pay close attention to Vijay, and does find him getting closer and closer to Anju. He decides to ask Vijay to leave, and even gives him some money, when Daver bursts in accusing Vijay of having an affair with Suman, an argument ensues, which regresses into fisticuffs, Anil hits Vijay on his head which leads to his death. Daver disposes of the body, and both decide not to tell anyone about Vijay's disappearance...",1.376,/kD90zN92xXblE1ck21jw9jSHuiD.jpg,1977-07-28,Agar... If,False,0.0,0
False,,[],819803,hi,Lambhardarni,Two men continue a war between families after one kills the other's father in a fit of rage.,0.6,/unP1cYyQcQv5lOaSaRG94XYkiUw.jpg,1980-06-07,Lambhardarni,False,0.0,0
False,,[],819781,hi,Kaanoon Ki Awaaz,"Darshall Lall is a gangster with many political connections. And it is for this reason that no police officer has dared to arrest Lall or any of his men. But when Public Prosecutor, Janki Rai's rickshaw-driver husband, Raghunath Prasad Rai, witnesses Lall's son, Surendra Pal, kill Ram Mohan Tripathi, Lall's son is arrested and brought before the court. Lall's offer to bribe Janki are in vain, and as a result Surendra is convicted and sentenced to die.",0.6,/hLSNLfCdX7hMaNxrVek24kZcvx2.jpg,1989-05-09,Kaanoon Ki Awaaz,False,0.0,0
False,,[18],807222,hi,सितारा,Upcoming Hindi film.,0.6,,,Sitara,False,0.0,0
False,/iP4tb2F5f7jemFqRVINZ4cWgHLt.jpg,[],796617,hi,Main Mulayam Singh Yadav,"""ZINDA KAUMEIN PAANCH SAAL TAK INTEZAAR NAHIN KARTI"" This quote by one of his guru Dr. Ram Manohar Lohia became his Mantra as he flourished and became one of the most successful Political ..",0.892,/iFm7hASVbwSaoixzoaBqnVVQJvz.jpg,2021-02-09,Main Mulayam Singh Yadav,False,0.0,0
False,,"[28, 10749]",737516,hi,Secret Pocketmaar,,0.6,/dRSjEU6vmQsfwiMa4Cdhz1PE9FX.jpg,,Secret Pocketmaar,False,0.0,0
False,,[27],728405,hi,Rosie: The Saffron Chapter,Upcoming Hindi movie,0.626,,,Rosie: The Saffron Chapter,False,0.0,0
False,/qukbEvI77bJ2tAUDxR8xikqv5KG.jpg,[35],727485,hi,Nawab,"Dumped unceremoniously by his wife, Nikhil tries to figure what to do with his wife's dog while trying to figure his own depression and abandonment.",1.4,/2y30EwcvpHmpiKxUahi9QFZ4brC.jpg,2020-02-04,Nawab,False,4.0,1
False,/jAS4d21wmJfZbxozMSsVDsaQZgJ.jpg,[],721072,hi,Shubh Vivah,"Based on the traditional Madhubani-style paintings by Lalita Devi, this movie addresses the issue of the dowry system of India.",0.876,/i7a1uPY9O9gd60Y4Ss7jfqj01fN.jpg,1984-01-01,Auspicious Wedding,False,0.0,0
False,,[],715266,hi,Basant,"A spoilt heiress runs away from home to be with the lover her family disapproves of, only to fall in love with someone else on the way.",1.4,/a5OfzPVnZD7WMG3K74RLUb4RwKs.jpg,1960-01-01,Basant,False,0.0,0
False,,[],712462,hi,Man Mandir,"Hit by endless misfortunes, the orphaned siblings Deepak and Laxmi struggle to make a life for themselves",1.126,/tG3xOjIffrQ3Ye9tTvSjsXDhGgi.jpg,1971-01-01,Man Mandir,False,0.0,0
False,,[14],702900,hi,Geek Out,"The dual lives we lead, that virtual alter ego we all have nurtured and empowered, The Indian ""Geek"" today is no longer that lad who sat in a corner. He could be that carefully framed pic on Instagram to that deadly opinionated Twitter handle or maybe that pop philosophy spitting Facebook page or that revolutionary blog that was created to change the world or just plain drowned into the Audio-Visual black hole ""You-Tube"". Day dreaming now has a new address, the world wide web. Dream on ! May the force be with the Geek !",0.6,/f8Ntxc13SGPbpU8hAVOiXX1EzIf.jpg,2013-06-03,Geek Out,False,10.0,1
False,,[18],702375,hi,Vasundhara,"Vasundhara is a Hindi movie released on 1 Jan, 1988. The movie is directed by Ashok Ahuja and featured Rajesh as lead character.",0.6,,1988-01-01,Vasundhara,False,0.0,0
False,,"[10751, 18]",690480,hi,Little Baby,"Little Baby is a story of unconditional love between a father and daughter. Sasha is a 19 year old girl who loves to experiment with her life and in this, she forgets she has a loving father and a mother.",0.626,/jtJpWhS4HXXXKNjkPg3W1TZciA5.jpg,,Little Baby,False,0.0,0
False,,[18],689060,hi,Biryani,"Danish, recently returned from Dubai,  intends to quit his job, which his family  and friends are unaware of. Will it affect Danish’s love life ?",0.6,,2018-02-22,Biryani,False,0.0,0
